campaign_id,campaign_name,platform,channel,region,status,start_date,end_date,budget_allocated,created_at,funnel_stage
43,growify | tof | 23/01/26 | abo | us | sales,Meta,Paid Social,USA,PAUSED,2026-05-24,2026-05-24,1393.05,2026-05-24 15:49:56,BOF
44,growify | tof | conversion | can,Meta,Paid Social,Rest of the World,PAUSED,2026-05-24,2026-05-24,2586.62,2026-05-24 15:49:56,BOF
45,growify | tof | conversion | india,Meta,Paid Social,India,ACTIVE,2026-05-24,2026-05-24,602.5514285714286,2026-05-24 15:49:56,BOF
46,growify | tof | conversion | uae,Meta,Paid Social,  MIDDLE EAST  ,PAUSED,2026-05-24,2026-05-24,667.5939591111111,2026-05-24 15:49:56,BOF
47,growify | tof | conversion | us,Meta,Paid Social,  USA  ,ACTIVE,2026-05-24,2026-05-24,127076.20857142856,2026-05-24 15:49:56,BOF
48,growify | tof | conversion | us+can,Meta,Paid Social,Rest of the World,ACTIVE,2026-05-24,2026-05-24,7535.62,2026-05-24 15:49:56,BOF
49,growify | tof | conversion | us+uk,Meta,Paid Social,Rest of the World,ACTIVE,2026-05-24,2026-05-24,145.75729866666666,2026-05-24 15:49:56,BOF
50,growify | tof | messaging | uae,Meta,Paid Social,USA,PAUSED,2026-05-24,2026-05-24,681.7595555714286,2026-05-24 15:49:56,BOF
51,growify | tof | traffic-lpv | uae,Meta,Paid Social,Middle East,PAUSED,2026-05-24,2026-05-24,77.5386815,2026-05-24 15:49:56,BOF
52,growify | tof | traffic-lpv | us,Meta,Paid Social,USA,  PAUSED  ,2026-05-24,2026-05-24,5704.026666666666,2026-05-24 15:49:56,BOF
53,growify | tof | traffic-thruplay | india,Meta,Paid Social,India,PAUSED,2026-05-24,2026-05-24,6.4399999999999995,2026-05-24 15:49:56,BOF
54,  GROWIFY | 3 JULY 2025 | US/CA/AUS | ENGAGEMENT  ,Meta,Paid Social,Rest of the World,  PAUSED  ,2026-05-24,2026-05-24,40.38,2026-05-24 15:51:36,BOF
55,  GROWIFY | MOF+BOF | MEHFIL+FITOOR+MAHIYA | LEHENGA+SAREE| SALE | US+UAE+CAN+AUS  ,Meta,Paid Social,Rest of the World,  ACTIVE  ,2026-05-24,2026-05-24,309.265,2026-05-24 15:51:36,BOF
56,  GROWIFY | RETARGET | CONVERSION | AUS+CAN+UK+USA  ,Meta,Paid Social,Rest of the World,ACTIVE,2026-05-24,2026-05-24,2802.1071428571427,2026-05-24 15:51:36,BOF
